GEOID10,DP0010001,NEIGHBORS
48113002100,1195,"48113001704,48113001701,48113003101,48113001900,48113020400,48113010000"
48113003101,2474,"48113002200,48113001701,48113002100,48113020400"
48113004201,3970,"48113004800,48113004202,48113004400,48113002000,48113004300,48113004700,48113004600"
48113004202,2237,"48113004500,48113004400,48113004201,48113006800,48113004700,48113004600"
48113004300,2375,"48113004400,48113004201,48113002000,48113006900,48113010000,48113020500,48113010101,48113010102"
48113004400,3107,"48113004202,48113004201,48113004300,48113006800,48113006900,48113020500"
48113004500,6008,"48113006402,48113005300,48113006700,48113004202,48113006800,48113005200,48113004600"
48113014408,4137,"48113014403,48113014407,48113014406,48113014405,48113015303,48113015305,48113015304"
48113014501,3169,"48113014302,48113014306,48113014405,48113015202,48113014308,48113014502,48113014601"
48113014502,4932,"48113015202,48113014501,48113014901,48113014601,48113014603,48113015205,48113014902"
48113014601,2595,"48113014302,48113014501,48113014308,48113014203,48113014502,48113014603,48113014602"
48113014602,4500,"48113014203,48113014204,48113014601,48113014603,48113014702,48113014701,48113014703,48113014902"
48113014603,1943,"48113014901,48113014502,48113014601,48113014602,48113014902"
48113014701,4666,"48113014204,48113014602,48113014702,48113020100"
48113014702,3898,"48113014602,48113014701,48113014703,48113020100,48113014902"
48113014703,1929,"48113014602,48113014702,48113014902"
48113014901,1393,"48113015202,48113014502,48113014603,48113015206,48113015205,48113015100,48113014902"
48113014902,2416,"48113014901,48113014502,48113014603,48113014602,48113014702,48113014703,48113020100,48113015000,48113015100"
48113017500,3837,"48113017702,48113017704,48113017805,48113017602,48113017606,48113017400,48113017604,48113017202"
48113017400,5319,"48113017702,48113017704,48113017500,48113017303,48113017202,48113017306"
48113016803,5781,"48113016703,48113016705,48113016802,48113016804,48113016903"
48113019024,4118,"48113019039,48113019004,48113019029,48113019023,48113019020,48113019014"
48113019021,7050,"48113019029,48113019027,48113019026,48113019020,48113019014,48113018900,48113018801"
48113019020,5046,"48113019004,48113019021,48113019029,48113019024,48113019023,48113019014,48113018900"
48113019033,4565,"48113018506,48113019004,48113019032,48113019013,48113019014,48113018501,48113019019"
48113019032,4178,"48113019004,48113019033,48113019013,48113019014,48113019019"
48113019034,3975,"48113019041,48113019016,48113019035,48113019018,48113019019"
48113019014,6971,"48113019004,48113019021,48113019024,48113019020,48113019032,48113019033,48113019013,48113018900"
48113002400,3727,"48113002200,48113001502,48113001302,48113001301,48113020300,48113020400,48113001202,48113001204,48113002500"
48113011702,5366,"48113017202,48113017201,48113011701,48113011800,48113017101,48113011602,48113017102"
48113001600,3696,"48113002200,48113001503,48113000800,48113000701,48113001701,48113001703"
48113001504,2463,"48113001101,48113002200,48113001502,48113001302,48113001503,48113001400,48113001002"
48113001503,3111,"48113002200,48113001600,48113001504,48113000800,48113000900,48113001002"
48113001502,3328,"48113002200,48113002400,48113001504,48113001302,48113001400"
48113001400,3756,"48113001101,48113001102,48113001502,48113001504,48113001302,48113001301,48113000100"
48113001302,2828,"48113002400,48113001502,48113001504,48113001400,48113001301"
48113001301,2605,"48113002400,48113001302,48113001400,48113001202,48113001204,48113001203,48113000100"
48113001202,3133,"48113002400,48113001301,48113008400,48113012208,48113001204,48113001203,48113002500,48113008100,48113000100"
48113001204,2572,"48113002400,48113001301,48113001202,48113001203"
48153950600,3824,"48189950800,48189950600,48345950100,48153950500,48107950300,48107950200,48107950100,48125950300,48303010101"
48153950500,2622,"48437950400,48045950200,48189950600,48345950100,48153950600"
